id,issuer,sector,rating,maturity_years,coupon,asset_class
B0000,Forge Manufacturing,Industrials,AA-,26,5.01,Corporate Bond
B0001,Meridian Health,Healthcare,AA+,16,3.82,Corporate Bond
B0002,Beacon Software,Technology,A,26,5.37,Corporate Bond
B0003,Sentinel Electric,Utilities,A-,13,4.79,Corporate Bond
B0004,Northstar Biotic,Healthcare,AA+,29,4.65,Corporate Bond
B0005,Alpine Care,Healthcare,A+,29,5.04,Corporate Bond
B0006,Vantage Medical,Healthcare,BBB,30,6.36,Corporate Bond
B0007,Redwood Machinery,Industrials,AA-,26,5.01,Corporate Bond
B0008,Vertex Steel,Industrials,AA+,29,4.27,Corporate Bond
B0009,Zenith Wireless,Telecom,A-,21,5.59,Corporate Bond
B0010,Highgate Properties,Real Estate,A+,28,5.15,Corporate Bond
B0011,Cascade Pharma,Healthcare,BBB-,26,6.44,Corporate Bond
B0012,Cascade Pharma,Healthcare,BBB+,11,5.18,Corporate Bond
B0013,Anchor Goods,Consumer,BBB+,19,5.3,Corporate Bond
B0014,Northstar Biotic,Healthcare,A,10,4.35,Corporate Bond
B0015,Keystone Bancorp,Financials,BBB+,2,4.93,Corporate Bond
B0016,Pinnacle Gas,Energy,BBB+,1,4.94,Corporate Bond
B0017,Ironwood Oil,Energy,BB,1,5.55,Corporate Bond
B0018,Cardinal Energy,Energy,BB+,2,5.73,Corporate Bond
B0019,Sentinel Electric,Utilities,BB-,3,6.41,Corporate Bond
B0020,Meridian Health,Healthcare,BB-,3,5.98,Corporate Bond
B0021,Cardinal Energy,Energy,BBB-,1,5.44,Corporate Bond
B0022,Cornerstone REIT,Real Estate,BB-,3,6.35,Corporate Bond
B0023,Keystone Bancorp,Financials,BBB+,2,4.91,Corporate Bond
B0024,Highgate Properties,Real Estate,BB,4,6.02,Corporate Bond
B0025,Sentinel Electric,Utilities,BB-,4,6.34,Corporate Bond
B0026,Cobalt Chemicals,Materials,B+,1,6.51,Corporate Bond
B0027,Cobalt Chemicals,Materials,BB-,4,6.25,Corporate Bond
B0028,Vertex Steel,Industrials,BB,1,5.99,Corporate Bond
B0029,Ironwood Oil,Energy,B-,2,7.11,Corporate Bond
B0030,Titan Industrial,Industrials,BB,4,5.79,Corporate Bond
